,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.0833,81.54,76,100,19.19,MV,1659152973
1,Qaanaaq,77.484,-69.3632,36.57,62,0,4.05,GL,1659152975
2,Hermanus,-34.4187,19.2345,44.8,77,99,9.4,ZA,1659152976
3,Saint Paul Harbor,57.79,-152.4072,54.91,94,100,8.05,US,1659152978
4,Hobart,-42.8794,147.3294,53.22,58,40,12.66,AU,1659152863
5,Yulara,-25.2406,130.9889,67.6,19,100,11.34,AU,1659152980
6,Ostrovnoy,68.0531,39.5131,47.44,91,100,20.67,RU,1659152982
7,Port Alfred,-33.5906,26.891,57.15,82,59,11.48,ZA,1659152983
8,Langsa,4.4683,97.9683,87.21,65,98,3.96,ID,1659152985
9,Mataura,-46.1927,168.8643,45.48,85,100,2.95,NZ,1659152986
10,Bluff,-46.6,168.3333,45.81,69,84,10.13,NZ,1659152988
11,Nome,64.5011,-165.4064,62.67,49,0,17.27,US,1659152989
12,Sain Alto,23.5833,-103.25,64.81,65,100,4.0,MX,1659152990
13,Nanortalik,60.1432,-45.2371,44.76,90,31,9.64,GL,1659152992
14,Port Keats,-14.25,129.55,85.53,31,11,7.56,AU,1659152995
15,Atuona,-9.8,-139.0333,77.18,70,5,18.32,PF,1659152997
16,Isangel,-19.55,169.2667,80.71,83,100,4.61,VU,1659152999
17,Gimli,50.6336,-96.9907,63.64,79,1,9.82,CA,1659152706
18,Severo-Kuril'sk,50.6789,156.125,54.07,91,100,12.28,RU,1659153001
19,Maxixe,-23.8597,35.3472,55.22,100,1,0.0,MZ,1659153003
20,Beringovskiy,63.05,179.3167,49.24,78,100,6.13,RU,1659153004
21,Brae,60.3964,-1.353,56.91,90,100,26.19,GB,1659153006
22,Sioux Lookout,50.1001,-91.917,62.67,82,40,4.61,CA,1659153007
23,Katobu,-4.9408,122.5276,85.35,60,85,8.03,ID,1659153009
24,Punta Arenas,-53.15,-70.9167,39.31,81,75,29.93,CL,1659153010
25,Vaini,-21.2,-175.2,78.96,89,40,11.5,TO,1659153012
26,Port Hedland,-20.3167,118.5667,82.45,17,3,8.05,AU,1659153013
27,Provideniya,64.3833,-173.3,52.3,68,100,1.34,RU,1659153014
28,Rikitea,-23.1203,-134.9692,72.7,76,7,16.64,PF,1659153016
29,Arraial do Cabo,-22.9661,-42.0278,66.31,83,100,20.71,BR,1659153017
30,Torbay,47.6666,-52.7314,59.27,92,100,6.91,CA,1659152763
31,Ponta do Sol,32.6667,-17.1,74.01,81,18,5.48,PT,1659153020
32,Ketchikan,55.3422,-131.6461,70.27,78,100,3.44,US,1659153021
33,Busselton,-33.65,115.3333,55.11,57,93,18.99,AU,1659153023
34,Vila Velha,-20.3297,-40.2925,73.35,80,40,8.05,BR,1659152734
35,Chokurdakh,70.6333,147.9167,64.87,42,70,10.29,RU,1659153025
36,Castro,-24.7911,-50.0119,41.79,80,0,4.61,BR,1659153027
37,Kavaratti,10.5669,72.642,80.58,84,100,14.58,IN,1659153028
38,Ayan,56.45,138.1667,58.06,97,100,19.73,RU,1659153030
39,Thompson,55.7435,-97.8558,60.96,77,40,5.75,CA,1659152762
40,Senneterre,48.3835,-77.2328,54.91,98,99,8.93,CA,1659153032
41,Hamada,34.8833,132.0833,84.92,82,100,6.91,JP,1659153034
42,Changping,40.2186,116.2197,85.64,56,28,4.76,CN,1659153035
43,Brigantine,39.4101,-74.3646,78.01,89,100,3.44,US,1659153037
44,Rio Grande,-32.035,-52.0986,42.91,89,0,3.91,BR,1659152779
45,Narsaq,60.9167,-46.05,46.87,77,28,1.34,GL,1659153039
46,Carnarvon,-24.8667,113.6333,65.21,58,100,17.36,AU,1659153041
47,Latung,5.5,120.8833,84.0,74,100,8.41,PH,1659153042
48,Yellowknife,62.456,-114.3525,63.12,55,40,9.22,CA,1659152926
49,Ushuaia,-54.8,-68.3,38.86,87,100,26.46,AR,1659152825
50,Cape Town,-33.9258,18.4232,49.91,89,40,6.91,ZA,1659153047
51,Bredasdorp,-34.5322,20.0403,46.8,78,100,7.11,ZA,1659153049
52,Walvis Bay,-22.9575,14.5053,48.09,87,28,2.3,NA,1659153050
53,New Norfolk,-42.7826,147.0587,52.88,44,5,3.31,AU,1659153052
54,Puerto Ayora,-0.7393,-90.3518,69.55,93,97,8.99,EC,1659153053
55,Riyadh,24.6877,46.7219,87.94,25,65,2.77,SA,1659153026
56,Airai,-8.9266,125.4092,74.1,41,88,3.8,TL,1659153056
57,Deniliquin,-35.5333,144.9667,56.35,39,3,9.46,AU,1659153058
58,Bethel,41.3712,-73.414,76.19,81,100,4.61,US,1659153061
